StockCode,Description
22726,"<ArrowStringArray>
['ALARM CLOCK BAKELIKE GREEN', nan]
Length: 2, dtype: str"
22729,"<ArrowStringArray>
['ALARM CLOCK BAKELIKE ORANGE', nan]
Length: 2, dtype: str"
22734,"<ArrowStringArray>
['SET OF 6 RIBBONS VINTAGE CHRISTMAS', 'AMAZON', 'AMAZON SALES', nan, 'FOUND']
Length: 5, dtype: str"
22740,"<ArrowStringArray>
['POLKADOT PEN', 'ADJUSTMENT']
Length: 2, dtype: str"
22759,"<ArrowStringArray>
['SET OF 3 NOTEBOOKS IN PARCEL', 'FOUND', 'CHECK']
Length: 3, dtype: str"
22764,"<ArrowStringArray>
['RUSTIC WOODEN CABINET, GLASS DOORS', nan]
Length: 2, dtype: str"
22776,"<ArrowStringArray>
[ 'SWEETHEART CAKESTAND 3 TIER', 'CAKESTAND, 3 TIER, LOVEHEART',
 'SWEETHEART 3 TIER CAKE STAND']
Length: 3, dtype: str"
22777,"<ArrowStringArray>
['GLASS BELL JAR LARGE', 'GLASS CLOCHE LARGE', nan]
Length: 3, dtype: str"
22778,"<ArrowStringArray>
['GLASS CLOCHE SMALL', 'GLASS BELL JAR SMALL']
Length: 2, dtype: str"
22783,"<ArrowStringArray>
['SET 3 WICKER OVAL BASKETS W LIDS', nan]
Length: 2, dtype: str"
22785,"<ArrowStringArray>
['SQUARECUSHION COVER PINK UNION FLAG', 'SQUARECUSHION COVER PINK UNION JACK']
Length: 2, dtype: str"
22804,"<ArrowStringArray>
['CANDLEHOLDER PINK HANGING HEART', 'PINK HANGING HEART T-LIGHT HOLDER']
Length: 2, dtype: str"
22810,"<ArrowStringArray>
['SET OF 6 T-LIGHTS SNOWMEN', nan]
Length: 2, dtype: str"
22812,"<ArrowStringArray>
['PACK 3 BOXES CHRISTMAS PANNETONE',                            'CHECK',
 'PACK 3 BOXES CHRISTMAS PANETTONE',                                nan]
Length: 4, dtype: str"
22813,"<ArrowStringArray>
['PACK 3 BOXES BIRD PANNETONE', 'PACK 3 BOXES BIRD PANETTONE']
Length: 2, dtype: str"
22823,"<ArrowStringArray>
['CHEST NATURAL WOOD 20 DRAWERS', 'TEST']
Length: 2, dtype: str"
22827,"<ArrowStringArray>
['RUSTIC  SEVENTEEN DRAWER SIDEBOARD', nan]
Length: 2, dtype: str"
22829,"<ArrowStringArray>
['SWEETHEART WIRE WALL TIDY', nan]
Length: 2, dtype: str"
22830,"<ArrowStringArray>
['UTILTY CABINET WITH HOOKS', nan]
Length: 2, dtype: str"
22833,"<ArrowStringArray>
['HALL CABINET WITH 3 DRAWERS', nan]
Length: 2, dtype: str"
22837,"<ArrowStringArray>
['HOT WATER BOTTLE BABUSHKA', 'HOT WATER BOTTLE BABUSHKA LARGE', 'FOUND', nan]
Length: 4, dtype: str"
22838,"<ArrowStringArray>
['3 TIER CAKE TIN RED AND CREAM', nan]
Length: 2, dtype: str"
22847,"<ArrowStringArray>
['BREAD BIN DINER STYLE IVORY', 'BREAD BIN, DINER STYLE, IVORY', nan]
Length: 3, dtype: str"
22848,"<ArrowStringArray>
['BREAD BIN DINER STYLE PINK', 'CHECK', 'AMAZON']
Length: 3, dtype: str"
22849,"<ArrowStringArray>
['BREAD BIN DINER STYLE MINT', 'BREAD BIN, DINER STYLE, MINT']
Length: 2, dtype: str"
22865,"<ArrowStringArray>
['HAND WARMER OWL DESIGN', nan]
Length: 2, dtype: str"
22866,"<ArrowStringArray>
['HAND WARMER SCOTTY DOG DESIGN', nan]
Length: 2, dtype: str"
22867,"<ArrowStringArray>
['HAND WARMER BIRD DESIGN', nan]
Length: 2, dtype: str"
22896,"<ArrowStringArray>
['PEG BAG APPLES DESIGN', 'PEG BAG APPLE DESIGN']
Length: 2, dtype: str"
22925,"<ArrowStringArray>
['BLUE GIANT GARDEN THERMOMETER', 'CHECK', 'AMAZON']
Length: 3, dtype: str"
22927,"<ArrowStringArray>
['GREEN GIANT GARDEN THERMOMETER', 'AMAZON']
Length: 2, dtype: str"
22932,"<ArrowStringArray>
['BAKING MOULD TOFFEE CUP CHOCOLATE', 'BAKING MOULD TOFFEE CUP  CHOCOLATE']
Length: 2, dtype: str"
22937,"<ArrowStringArray>
[ 'BAKING MOULD CHOCOLATE CUPCAKES', 'BAKING MOULD CHOCOLATE CUP CAKES',
   'BAKING MOULD CUPCAKE CHOCOLATE']
Length: 3, dtype: str"
22939,"<ArrowStringArray>
['APRON APPLE DELIGHT', 'ADULT APRON APPLE DELIGHT']
Length: 2, dtype: str"
22943,"<ArrowStringArray>
['CHRISTMAS LIGHTS 10 VINTAGE BAUBLES', nan]
Length: 2, dtype: str"
22947,"<ArrowStringArray>
['WOODEN ADVENT CALENDAR RED', nan]
Length: 2, dtype: str"
22949,"<ArrowStringArray>
['36 DOILIES DOLLY GIRL', 'SET OF 36 DOLLY GIRL PAPER DOILIES']
Length: 2, dtype: str"
22950,"<ArrowStringArray>
['36 DOILIES VINTAGE CHRISTMAS', 'SET OF 36 VINTAGE CHRISTMAS DOILIES']
Length: 2, dtype: str"
22952,"<ArrowStringArray>
['60 CAKE CASES VINTAGE CHRISTMAS', '72 CAKE CASES VINTAGE CHRISTMAS']
Length: 2, dtype: str"
22953,"<ArrowStringArray>
['BIRTHDAY PARTY CORDON BARRIER TAPE', 'BIRTHDAY BANNER TAPE']
Length: 2, dtype: str"
22959,"<ArrowStringArray>
['WRAP CHRISTMAS VILLAGE', nan]
Length: 2, dtype: str"
22963,"<ArrowStringArray>
['JAM JAR WITH GREEN LID', 'JAM JAR WITH BLUE LID']
Length: 2, dtype: str"
22965,"<ArrowStringArray>
['3 TRADITIONAL COOKIE CUTTERS  SET', '3 TRADITIONAL BISCUIT CUTTERS  SET']
Length: 2, dtype: str"
22968,"<ArrowStringArray>
['ROSE COTTAGE KEEPSAKE BOX', nan]
Length: 2, dtype: str"
22972,"<ArrowStringArray>
['CHILDREN'S SPACEBOY MUG', 'CHILDRENS SPACEBOY MUG']
Length: 2, dtype: str"
22985,"<ArrowStringArray>
['WRAP, BILLBOARD FONTS DESIGN', 'WRAP BILLBOARD FONTS DESIGN']
Length: 2, dtype: str"
22986,"<ArrowStringArray>
['GINGHAM ROSE WRAP', 'WRAP GINGHAM ROSE']
Length: 2, dtype: str"
22988,"<ArrowStringArray>
['SOLDIERS EGG CUP', nan]
Length: 2, dtype: str"
22999,"<ArrowStringArray>
['TRAVEL CARD WALLET RETRO PETALS', 'TRAVEL CARD WALLET VINTAGE LEAF']
Length: 2, dtype: str"
23015,"<ArrowStringArray>
['CORDIAL GLASS JUG', 'CORDIAL JUG']
Length: 2, dtype: str"
23020,"<ArrowStringArray>
['GLASS  SONGBIRD STORAGE JAR', 'GLASS SONGBIRD STORAGE JAR']
Length: 2, dtype: str"
23028,"<ArrowStringArray>
['DRAWER KNOB CRACKLE GLAZE BLUE', 'DOORKNOB CRACKED GLAZE BLUE']
Length: 2, dtype: str"
23029,"<ArrowStringArray>
['DRAWER KNOB CRACKLE GLAZE GREEN', 'DOORKNOB CRACKED GLAZE GREEN']
Length: 2, dtype: str"
23031,"<ArrowStringArray>
['DRAWER KNOB CRACKLE GLAZE PINK', 'DOORKNOB CRACKED GLAZE PINK']
Length: 2, dtype: str"
23032,"<ArrowStringArray>
['DRAWER KNOB CRACKLE GLAZE IVORY', 'DOORKNOB CRACKED GLAZE IVORY']
Length: 2, dtype: str"
23035,"<ArrowStringArray>
['DRAWER KNOB CERAMIC IVORY', 'DOORKNOB CERAMIC IVORY']
Length: 2, dtype: str"
23041,"<ArrowStringArray>
['PAPER LANTERN 9 POINT SNOW STAR', 'PAPER LANTERN 6 POINT SNOW STAR']
Length: 2, dtype: str"
23043,"<ArrowStringArray>
['PAPER LANTERN 9 POINT HOLLY STAR 40', 'PAPER LANTERN 9 POINT HOLLY STAR L']
Length: 2, dtype: str"
23044,"<ArrowStringArray>
['PAPER LANTERN 9 POINT HOLLY STAR S', 'PAPER LANTERN 9 POINT HOLLY STAR 23']
Length: 2, dtype: str"
23045,"<ArrowStringArray>
['PAPER LANTERN 5 POINT STAR MOON 30', 'PAPER LANTERN 5 POINT STAR MOON']
Length: 2, dtype: str"
23047,"<ArrowStringArray>
['PAPER LANTERN 5 POINT SEQUIN STAR', 'PAPER LANTERN 5 POINT STUDDED STAR']
Length: 2, dtype: str"
23056,"<ArrowStringArray>
['FLOWERS CHANDELIER T-LIGHT HOLDER', 'CRYSTAL CHANDELIER T-LIGHT HOLDER']
Length: 2, dtype: str"
23057,"<ArrowStringArray>
['GEMSTONE CHANDELIER T-LIGHT HOLDER', 'BEADED CHANDELIER T-LIGHT HOLDER']
Length: 2, dtype: str"
23061,"<ArrowStringArray>
['VINTAGE EMBOSSED HEART', 'VINTAGE ENGRAVED HEART']
Length: 2, dtype: str"
23065,"<ArrowStringArray>
['LARGE DECO JEWELLERY STAND', 'LARGE JEWELLERY STAND']
Length: 2, dtype: str"
23066,"<ArrowStringArray>
['SMALL DECO JEWELLERY STAND', 'SMALL JEWELLERY STAND']
Length: 2, dtype: str"
23068,"<ArrowStringArray>
['ALUMINIUM STAMPED HEART', 'ALUMINIUM HEART']
Length: 2, dtype: str"
23071,"<ArrowStringArray>
['MARIE ANTOIENETT TRINKET BOX GOLD', 'MARIE ANTOINETTE TRINKET BOX GOLD']
Length: 2, dtype: str"
23075,"<ArrowStringArray>
['DOUBLE CERAMIC PARLOUR HOOK', 'PARLOUR CERAMIC WALL HOOK']
Length: 2, dtype: str"
23081,"<ArrowStringArray>
['GREEN METAL BOX ARMY SUPPLIES', 'GREEN METAL BOX TOP SECRET']
Length: 2, dtype: str"
23084,"<ArrowStringArray>
[                 'RABBIT NIGHT LIGHT',                                   nan,
 'ALLOCATE STOCK FOR DOTCOM ORDERS TA', 'ADD STOCK TO ALLOCATE ONLINE ORDERS',
            'FOR ONLINE RETAIL ORDERS',                              'AMAZON',
                       'WEBSITE FIXED']
Length: 7, dtype: str"
23086,"<ArrowStringArray>
['ZINC  STAR T-LIGHT HOLDER', 'ZINC STAR T-LIGHT HOLDER']
Length: 2, dtype: str"
23091,"<ArrowStringArray>
['ZINC HERB GARDEN CONTAINER', 'METAL HERB GERDEN CONTAINER', 'CHECK']
Length: 3, dtype: str"
23103,"<ArrowStringArray>
['BELL HEART DECORATION', 'JINGLE BELL HEART DECORATION']
Length: 2, dtype: str"
23104,"<ArrowStringArray>
['IVORY PANTRY HANGING LAMP', 'IVORY CAFE HANGING LAMP']
Length: 2, dtype: str"
23106,"<ArrowStringArray>
['ZINC HEARTS PLANT POT HOLDER', 'ZINC PLANT POT HOLDER']
Length: 2, dtype: str"
23107,"<ArrowStringArray>
['WHITE WIRE PLANT POT HOLDER', 'WHITE HEARTS WIRE PLANT POT HOLDER']
Length: 2, dtype: str"
23109,"<ArrowStringArray>
['LED TEA LIGHTS', 'PACK OF SIX LED TEA LIGHTS']
Length: 2, dtype: str"
23118,"<ArrowStringArray>
['PARISIENNE JEWELLERY DRAWER', 'DOTCOM ADJUST']
Length: 2, dtype: str"
23126,"<ArrowStringArray>
['DOLLCRAFT GIRL AMELIE KIT', 'FELTCRAFT GIRL AMELIE KIT',
     'DOLLCRAFT GIRL AMELIE']
Length: 3, dtype: str"
23127,"<ArrowStringArray>
['DOLLCRAFT GIRL NICOLE', 'FELTCRAFT GIRL NICOLE KIT']
Length: 2, dtype: str"
23128,"<ArrowStringArray>
['FELTCRAFT BOY JEAN-PAUL KIT', 'DOLLCRAFT BOY JEAN-PAUL']
Length: 2, dtype: str"
23130,"<ArrowStringArray>
['MISTLETOE HEART WREATH GREEN', 'MISELTOE HEART WREATH']
Length: 2, dtype: str"
23131,"<ArrowStringArray>
['MISTLETOE HEART WREATH CREAM',  'MISELTOE HEART WREATH WHITE',
  'MISELTOE HEART WREATH CREAM',           'HAD BEEN PUT ASIDE']
Length: 4, dtype: str"
23134,"<ArrowStringArray>
['LARGE ZINC HEART WALL ORGANISER', nan]
Length: 2, dtype: str"
23135,"<ArrowStringArray>
['SMALL ZINC HEART WALL ORGANISER', '?', nan]
Length: 3, dtype: str"
23145,"<ArrowStringArray>
['ZINC T-LIGHT HOLDER STAR LARGE', 'ZINC T-LIGHT HOLDER STARS LARGE']
Length: 2, dtype: str"
23148,"<ArrowStringArray>
['MINIATURE ANTIQUE ROSE HOOK IVORY', 'MINITURE ANTIQUE ROSE HOOK IVORY']
Length: 2, dtype: str"
23157,"<ArrowStringArray>
['SET OF 6 NATIVITY MAGNETS', 'CHECK']
Length: 2, dtype: str"
23168,"<ArrowStringArray>
['CLASSIC SUGAR DISPENSER', 'CLASSIC CAFE SUGAR DISPENSER']
Length: 2, dtype: str"
23169,"<ArrowStringArray>
['CLASSIC GLASS SWEET JAR', 'CLASSIC GLASS COOKIE JAR']
Length: 2, dtype: str"
23175,"<ArrowStringArray>
['REGENCY MILK JUG PINK', nan]
Length: 2, dtype: str"
23188,"<ArrowStringArray>
['VINTAGE  2 METER FOLDING RULER', 'VINTAGE  2 METRE FOLDING RULER']
Length: 2, dtype: str"
23191,"<ArrowStringArray>
['BUNDLE OF 3 RETRO NOTE BOOKS', 'BUNDLE OF 3 RETRO EXERCISE BOOKS']
Length: 2, dtype: str"
23194,"<ArrowStringArray>
['GYMKHANNA TREASURE BOOK BOX', 'GYMKHANA TREASURE BOOK BOX']
Length: 2, dtype: str"
23196,"<ArrowStringArray>
[     'RETRO LEAVES MAGNETIC NOTEPAD', 'RETO LEAVES MAGNETIC SHOPPING LIST',
     'LEAVES MAGNETIC  SHOPPING LIST',      'VINTAGE LEAF MAGNETIC NOTEPAD']
Length: 4, dtype: str"
23197,"<ArrowStringArray>
['SKETCHBOOK MAGNETIC SHOPPING LIST', 'VEGETABLE MAGNETIC  SHOPPING LIST']
Length: 2, dtype: str"
23200,"<ArrowStringArray>
['MAILOUT', 'JUMBO BAG PEARS']
Length: 2, dtype: str"
23202,"<ArrowStringArray>
['MAILOUT', 'JUMBO BAG VINTAGE LEAF']
Length: 2, dtype: str"
23203,"<ArrowStringArray>
[                  'MAILOUT', 'JUMBO BAG DOILEY PATTERNS',
  'JUMBO BAG VINTAGE DOILEY',   'JUMBO BAG VINTAGE DOILY']
Length: 4, dtype: str"
23205,"<ArrowStringArray>
['CHARLOTTE BAG VINTAGE ALPHABET', 'CHARLOTTE BAG ALPHABET  DESIGN']
Length: 2, dtype: str"
23209,"<ArrowStringArray>
[                 'MAILOUT', 'LUNCH BAG DOILEY PATTERN',
 'LUNCH BAG VINTAGE DOILEY',  'LUNCH BAG VINTAGE DOILY']
Length: 4, dtype: str"
23212,"<ArrowStringArray>
['HEART WREATH DECORATION WITH BELL', 'PAINTED HEART WREATH WITH BELL']
Length: 2, dtype: str"
23214,"<ArrowStringArray>
['JINGLE BELL HEART ANTIQUE GOLD', 'BELL HEART ANTIQUE GOLD']
Length: 2, dtype: str"
23229,"<ArrowStringArray>
['VINTAGE DONKEY TAIL GAME', 'DONKEY TAIL GAME']
Length: 2, dtype: str"
23231,"<ArrowStringArray>
['WRAP DOILEY DESIGN', 'WRAP  VINTAGE DOILEY', 'WRAP  VINTAGE DOILY']
Length: 3, dtype: str"
23232,"<ArrowStringArray>
['WRAP VINTAGE PETALS  DESIGN', 'WRAP VINTAGE LEAF DESIGN']
Length: 2, dtype: str"
23235,"<ArrowStringArray>
['STORAGE TIN VINTAGE LEAF', 'BISCUIT TIN VINTAGE LEAF']
Length: 2, dtype: str"
23236,"<ArrowStringArray>
[        'DOILEY STORAGE TIN',         'DOILEY BISCUIT TIN',
 'STORAGE TIN VINTAGE DOILEY',  'STORAGE TIN VINTAGE DOILY']
Length: 4, dtype: str"
23237,"<ArrowStringArray>
['SET OF 4 KNICK KNACK TINS LEAVES', 'SET OF 4 KNICK KNACK TINS LEAF']
Length: 2, dtype: str"
23240,"<ArrowStringArray>
[ 'SET OF 4 KNICK KNACK TINS DOILEY',   'SET OF 4 KNICK KNACK TINS DOILY',
 'SET OF 4 KNICK KNACK TINS  DOILEY']
Length: 3, dtype: str"
23244,"<ArrowStringArray>
['ROUND STORAGE TIN VINTAGE LEAF',       'STORAGE TIN VINTAGE LEAF',
  'CANNISTER VINTAGE LEAF DESIGN']
Length: 3, dtype: str"
23249,"<ArrowStringArray>
['VINTAGE RED ENAMEL TRIM PLATE', 'ENAMEL DINNER PLATE PANTRY']
Length: 2, dtype: str"
23250,"<ArrowStringArray>
['VINTAGE RED TRIM ENAMEL BOWL', 'ENAMEL BOWL PANTRY']
Length: 2, dtype: str"
23251,"<ArrowStringArray>
['VINTAGE RED ENAMEL TRIM MUG', 'ENAMEL MUG PANTRY']
Length: 2, dtype: str"
23252,"<ArrowStringArray>
['VINTAGE RED ENAMEL TRIM JUG', 'ENAMEL JUG PANTRY']
Length: 2, dtype: str"
23253,"<ArrowStringArray>
['16 PIECE CUTLERY SET PANTRY DESIGN', '16 PC CUTLERY SET PANTRY DESIGN']
Length: 2, dtype: str"
23254,"<ArrowStringArray>
['CHILDRENS CUTLERY DOLLY GIRL', 'KIDS CUTLERY DOLLY GIRL']
Length: 2, dtype: str"
23256,"<ArrowStringArray>
['CHILDRENS CUTLERY SPACEBOY', 'KIDS CUTLERY SPACEBOY']
Length: 2, dtype: str"
23268,"<ArrowStringArray>
['SET OF 2 CERAMIC CHRISTMAS REINDEER', 'LIGHTHOUSE TRADING ZERO INVC INCORR',
                                   nan]
Length: 3, dtype: str"
23271,"<ArrowStringArray>
['CHRISTMAS TABLE CANDLE SILVER SPIKE', 'CHRISTMAS TABLE SILVER CANDLE SPIKE']
Length: 2, dtype: str"
23280,"<ArrowStringArray>
['FOLDING BUTTERFLY MIRROR HOT PINK', 'FOLDING MIRROR HOT PINK']
Length: 2, dtype: str"
23281,"<ArrowStringArray>
['FOLDING BUTTERFLY MIRROR RED', 'FOLDING MIRROR RED']
Length: 2, dtype: str"
23282,"<ArrowStringArray>
['FOLDING BUTTERFLY MIRROR IVORY', 'FOLDING MIRROR IVORY']
Length: 2, dtype: str"
23283,"<ArrowStringArray>
['DOORMAT VINTAGE LEAVES DESIGN', 'DOORMAT VINTAGE LEAF', nan]
Length: 3, dtype: str"
23284,"<ArrowStringArray>
['DOORMAT KEEP CALM AND COME IN', nan]
Length: 2, dtype: str"
23292,"<ArrowStringArray>
['SPACE BOY CHILDRENS CUP', 'SPACEBOY CHILDRENS CUP']
Length: 2, dtype: str"
23298,"<ArrowStringArray>
['SPOTTY BUNTING', 'BUNTING , SPOTTY']
Length: 2, dtype: str"
23299,"<ArrowStringArray>
['FOOD COVER WITH BEADS SET 2', 'FOOD COVER WITH BEADS , SET 2 SIZES']
Length: 2, dtype: str"
23306,"<ArrowStringArray>
['SET OF 36 DOILIES PANTRY DESIGN', nan, 'SET OF 36 PANTRY PAPER DOILIES']
Length: 3, dtype: str"
23324,"<ArrowStringArray>
['RUSTIC STRAWBERRY JAMPOT LARGE', 'RUSTIC STRAWBERRY JAM POT LARGE']
Length: 2, dtype: str"
23325,"<ArrowStringArray>
['RUSTIC STRAWBERRY JAMPOT SMALL', 'RUSTIC STRAWBERRY JAM POT SMALL']
Length: 2, dtype: str"
23342,"<ArrowStringArray>
['MINT DINER WALL CLOCK', 'MINT DINER CLOCK']
Length: 2, dtype: str"
23343,"<ArrowStringArray>
['JUMBO BAG VINTAGE CHRISTMAS', 'CAME CODED AS 20713', 'WRONGLY CODED 20713']
Length: 3, dtype: str"
23348,"<ArrowStringArray>
[nan, 'CHILDRENS TOY COOKING UTENSIL SET', 'CHECK']
Length: 3, dtype: str"
23359,"<ArrowStringArray>
['SET OF 12 T-LIGHTS VINTAGE DOILEY', 'SET OF 12 T-LIGHTS VINTAGE DOILY']
Length: 2, dtype: str"
23360,"<ArrowStringArray>
['SET 8 CANDLES VINTAGE DOILEY', 'SET 8 CANDLES VINTAGE DOILY']
Length: 2, dtype: str"
23366,"<ArrowStringArray>
[ 'SET 12 COLOURING PENCILS DOILY',    'SET 12 COLOUR PENCILS DOILEY',
 'SET 12 COLOURING PENCILS DOILEY']
Length: 3, dtype: str"
23370,"<ArrowStringArray>
[   'SET 36 COLOUR PENCILS DOILEY',  'SET 36 COLOURING PENCILS DOILY',
 'SET 36 COLOURING PENCILS DOILEY']
Length: 3, dtype: str"
23380,"<ArrowStringArray>
['PACK OF 12 VINTAGE DOILY TISSUES', 'PACK OF 12 DOILEY TISSUES']
Length: 2, dtype: str"
23388,"<ArrowStringArray>
['WOODLAND MINI BACKPACK', 'WOODLAND MINI RUCKSACK']
Length: 2, dtype: str"
23389,"<ArrowStringArray>
['SPACEBOY MINI BACKPACK', 'SPACEBOY MINI RUCKSACK']
Length: 2, dtype: str"
23390,"<ArrowStringArray>
['DOLLY GIRL MINI BACKPACK', 'DOLLY GIRL MINI RUCKSACK']
Length: 2, dtype: str"
23391,"<ArrowStringArray>
['I LOVE LONDON MINI BACKPACK', 'I LOVE LONDON MINI RUCKSACK']
Length: 2, dtype: str"
23396,"<ArrowStringArray>
[          'BUTTERFLY CUSHION COVER', 'LA JARDIN BOTANIQUE CUSHION COVER',
 'LE JARDIN BOTANIQUE CUSHION COVER']
Length: 3, dtype: str"
23400,"<ArrowStringArray>
['SHELF WITH 4 HOOKS HOME SWEET HOME', nan]
Length: 2, dtype: str"
23402,"<ArrowStringArray>
['HOME SWEEET HOME 3 PEG HANGER', 'HOME SWEET HOME 3 PEG HANGER']
Length: 2, dtype: str"
23404,"<ArrowStringArray>
['HOME SWEET HOME BLACKBOARD', 'CHECK']
Length: 2, dtype: str"
23406,"<ArrowStringArray>
['HOME SWEET HOME KEY HOLDER', nan]
Length: 2, dtype: str"
23412,"<ArrowStringArray>
['HEART MIRROR ANTIQUE WHITE', nan]
Length: 2, dtype: str"
23413,"<ArrowStringArray>
[         'VINTAGE COFFEE GRINDER BOX', 'DECROTIVEVINTAGE COFFEE GRINDER BOX',
      'DECORATIVE VINTAGE COFFEE  BOX']
Length: 3, dtype: str"
23436,"<ArrowStringArray>
['GIFT BAG LARGE VINTAGE CHRISTMAS', 'VINTAGE CHRISTMAS GIFT BAG LARGE']
Length: 2, dtype: str"
23437,"<ArrowStringArray>
['50'S CHRISTMAS GIFT BAG LARGE', 'GIFT BAG LARGE 50'S CHRISTMAS']
Length: 2, dtype: str"
23438,"<ArrowStringArray>
['RED SPOT GIFT BAG LARGE', 'GIFT BAG LARGE SPOT']
Length: 2, dtype: str"
23444,"<ArrowStringArray>
[nan, 'NEXT DAY CARRIAGE']
Length: 2, dtype: str"
23454,"<ArrowStringArray>
['SET OF 3 MINI HANGING PORTRAITS', 'THREE MINI HANGING FRAMES']
Length: 2, dtype: str"
23455,"<ArrowStringArray>
['SMALL PARLOUR PICTURE FRAME', 'SMALL PARLOUR FRAME']
Length: 2, dtype: str"
23456,"<ArrowStringArray>
['MEDIUM PARLOUR PICTURE FRAME', 'MEDIUM PARLOUR FRAME']
Length: 2, dtype: str"
23457,"<ArrowStringArray>
['LARGE PARLOUR PICTURE FRAME', 'LARGE PARLOUR FRAME']
Length: 2, dtype: str"
23462,"<ArrowStringArray>
['ROCOCO WALL MIRROR WHITE', 'ROCOCO WALL MIROR']
Length: 2, dtype: str"
23465,"<ArrowStringArray>
['TUSCAN VILLA FEEDING STATION', 'TUSCAN VILLA BIRD FEEDER']
Length: 2, dtype: str"
23466,"<ArrowStringArray>
['TUSCAN VILLA DOVECOTE', 'TUSCAN VILLA DOVECOTE BIRD FEEDER']
Length: 2, dtype: str"
23484,"<ArrowStringArray>
['HEART TRELLISTRIPLE T-LIGHT HOLDER', 'HEART TRELLIS TRIPLE T-LIGHT HOLDER']
Length: 2, dtype: str"
23489,"<ArrowStringArray>
['GARLAND, VINTAGE BELLS', 'VINTAGE BELLS GARLAND']
Length: 2, dtype: str"
23497,"<ArrowStringArray>
['CLASSIC CHROME BICYCLE BELL', 'CLASSIC CROME BICYCLE BELL']
Length: 2, dtype: str"
23502,"<ArrowStringArray>
['PLAYING CARDS VINTAGE DOILEY', 'PLAYING CARDS VINTAGE DOILY']
Length: 2, dtype: str"
23521,"<ArrowStringArray>
['CAT AND BIRD WALL ART', 'WALL ART CAT AND BIRD']
Length: 2, dtype: str"
23522,"<ArrowStringArray>
['DOG AND BALL WALL ART', 'WALL ART DOG AND BALL']
Length: 2, dtype: str"
23523,"<ArrowStringArray>
['TREASURE AHOY WALL ART', 'WALL ART TREASURE AHOY']
Length: 2, dtype: str"
23524,"<ArrowStringArray>
['HORSE & PONY WALL ART', 'WALL ART HORSE & PONY']
Length: 2, dtype: str"
23525,"<ArrowStringArray>
['BUFFALO BILL WALL ART', 'WALL ART BUFFALO BILL']
Length: 2, dtype: str"
23526,"<ArrowStringArray>
['DOG LICENCE WALL ART', 'WALL ART DOG LICENCE']
Length: 2, dtype: str"
23527,"<ArrowStringArray>
['ANIMALS AND NATURE WALL ART', 'WALL ART ANIMALS AND NATURE']
Length: 2, dtype: str"
23528,"<ArrowStringArray>
['SPACEBOY WALL ART', 'WALL ART SPACEBOY']
Length: 2, dtype: str"
23529,"<ArrowStringArray>
['DOLLY GIRL WALL ART', 'WALL ART DOLLY GIRL']
Length: 2, dtype: str"
23530,"<ArrowStringArray>
['WALL ART ONLY ONE PERSON', 'WALL ART,ONLY ONE PERSON']
Length: 2, dtype: str"
23534,"<ArrowStringArray>
['STOP FOR TEA WALL ART', 'WALL ART STOP FOR TEA']
Length: 2, dtype: str"
23535,"<ArrowStringArray>
['BICYCLE SAFTEY WALL ART', 'WALL ART BICYCLE SAFTEY',
 'WALL ART BICYCLE SAFETY']
Length: 3, dtype: str"
23536,"<ArrowStringArray>
['VILLAGE SHOW WALL ART', 'WALL ART VILLAGE SHOW']
Length: 2, dtype: str"
23537,"<ArrowStringArray>
['I LOVE LONDON WALL ART', 'WALL ART I LOVE LONDON']
Length: 2, dtype: str"
23539,"<ArrowStringArray>
['WALL ART LOVES' SECRET', 'WALL ART , LOVES' SECRET']
Length: 2, dtype: str"
23540,"<ArrowStringArray>
['WALL ART THE MAGIC FOREST', 'WALL ART , THE MAGIC FOREST']
Length: 2, dtype: str"
23541,"<ArrowStringArray>
['WALL ART CLASSIC PUDDINGS', 'WALL ART ,PUDDINGS', nan]
Length: 3, dtype: str"
23542,"<ArrowStringArray>
['70'S ALPHABET WALL ART', 'WALL ART 70'S ALPHABET']
Length: 2, dtype: str"
23543,"<ArrowStringArray>
['KEEP CALM WALL ART', 'WALL ART KEEP CALM']
Length: 2, dtype: str"
23545,"<ArrowStringArray>
['WRAP RED DOILEY', 'WRAP RED VINTAGE DOILY']
Length: 2, dtype: str"
23574,"<ArrowStringArray>
[nan, 'PACKING CHARGE']
Length: 2, dtype: str"
23579,"<ArrowStringArray>
['SNACK TRAY I LOVE LONDON', 'SALE ERROR', nan]
Length: 3, dtype: str"
23691,"<ArrowStringArray>
['KEEP CALM BIRTHDAY WRAP', 'WRAP KEEP CALM BIRTHDAY']
Length: 2, dtype: str"
23702,"<ArrowStringArray>
[nan, 'HIGH RESOLUTION IMAGE']
Length: 2, dtype: str"
35004P,"<ArrowStringArray>
['SET OF 3 PINK FLYING DUCKS', nan]
Length: 2, dtype: str"
35400,"<ArrowStringArray>
['WOODEN BOX ADVENT CALENDAR', nan]
Length: 2, dtype: str"
35597D,"<ArrowStringArray>
['PINK/WHITE CHRISTMAS TREE 30CM', nan]
Length: 2, dtype: str"
35598A,"<ArrowStringArray>
[nan, 'DUSTY PINK CHRISTMAS TREE 60CM']
Length: 2, dtype: str"
35598C,"<ArrowStringArray>
['FOUND', 'WHITE CHRISTMAS TREE 60CM']
Length: 2, dtype: str"
35607A,"<ArrowStringArray>
['PINK FLUFFY CHRISTMAS DECORATION', nan]
Length: 2, dtype: str"
